category,classification,comments,dec,flux,id,pos_err,ra,ref_flux,simbad_name,src_type,tags,detail_url
Star,Double or Multiple Star,,26.924472397665394,7.6076696e-12,288568,0.042031213761535666,84.28686080654856,3.89e-12,HD 37098,source,['known_source'],
Star,Spectroscopic Binary,,77.61624118315,1.7023628e-11,556234,0.04442570004980109,183.04976921918998,4.87e-12,CO Cam,source,['known_source'],
Star,RS CVn Variable,,23.78124164512111,2.9490794000000003e-12,556664,0.0395533245385826,57.275451415305,1.26e-11,V1282 Tau,source,['known_source'],
Unverified,Unverified,,46.28853906076776,1.2654822000000001e-11,557004,0.049741370174782994,167.27682464803073,,WXT J110906+461719,source,['known_source'],
Unverified,Unverified,,-17.102237184520426,1.31337326e-11,557132,0.04596917313095554,106.09744413219096,,WXT J070423-170608,source,['known_source'],
Unverified,Unverified,,-15.338361116394028,6.4583094e-12,554526,0.04688849147941022,97.05275700991874,,WXT J062813-152018,source,['known_source'],
Unverified,Unverified,,-14.084556424860653,1.1617705200000001e-11,554480,0.045847194495851354,118.86435863696187,,WXT J075527-140504,source,['known_source'],
Unverified,Unverified,,43.66574380343627,1.9064242e-11,554782,0.04753057402784383,133.3829229210029,,WXT J085332+433956,source,['known_source'],
Cluster of Galaxies,Cluster of Galaxies,,-31.90694444444444,2.379058e-11,49003,0.006034291500640658,231.05375,1.61e-11,MCXC J1524.2-3154,source,['known_source'],
Unverified,Unverified,,-7.828080594585242,1.1136224400000001e-11,556116,0.05114950109054671,35.59773557939015,,WXT J022223-074941,source,['known_source'],
Unverified,Unverified,,30.106690601502073,8.255803000000001e-12,556115,0.03974249178223917,80.18301459146383,,WXT J052044+300624,source,['known_source'],
Unverified,Unverified,,19.28749282566419,1.14015e-11,556156,0.047133223659393764,18.315040014726755,,WXT J011315+191715,source,['known_source'],
Star,Spectroscopic Binary,,15.962283658173055,3.1426186e-12,556497,0.04242994098502964,67.14374134289625,4.11e-12,tet01 Tau,source,['known_source'],
Unverified,Unverified,,-11.66069466641028,2.0595854000000003e-11,556868,0.04966721801666945,58.67827231667101,,WXT J035443-113939,source,['known_source'],
Unverified,Unverified,,-38.9534034182001,1.54963284e-11,556864,0.044353689389237026,81.12121771385924,,WXT J052429-385712,source,['known_source'],
Star,Symbiotic Star,,24.506397182848144,3.5713590000000005e-12,556659,0.04264914760262622,112.96693280462048,4.07e-12,NQ Gem,source,['known_source'],
Cluster of Galaxies,Cluster of Galaxies,,27.10638888888889,5.5862116e-12,556658,0.03830678219742592,106.76083333333334,5.15e-12,CIZA J0707.0+2706,source,['known_source'],
Unverified,Unverified,,15.734686529077829,1.5821724e-11,556995,0.05219505115010667,151.88636217654488,,WXT J100733+154405,source,['known_source'],
Unverified,Unverified,,-0.4345331250381723,7.447705600000001e-12,556999,0.049704421311975014,156.823793314801,,WXT J102718-002604,source,['known_source'],
SNR,SNR,,22.0174,7.738253200000001e-09,37471,0.0,83.6324,1.77e-11,Crab,source,['known_source'],
Unverified,Unverified,,29.729192145132675,1.2441064000000001e-11,557166,0.044254526195502124,44.577609522183565,,WXT J025819+294345,source,['known_source'],
Unverified,Unverified,,40.557802961404015,1.49683366e-11,557194,0.04362627406815508,154.95464520103175,,WXT J101949+403328,source,['known_source'],
Unverified,Unverified,,46.87872790430673,1.08032432e-11,557219,0.053463172485833474,156.19302429651557,,WXT J102446+465243,source,['known_source'],
Unverified,Unverified,,61.388403576587585,6.6128192e-12,557231,0.0386607067191479,153.36081481674785,,WXT J101327+612318,source,['known_source'],
Galaxy,Brightest Galaxy in a Cluster,,2.40997726915,7.2327302000000005e-12,40285,0.019670538266313257,64.90810435423,3.1e-12,NGC 1550,source,['known_source'],
Unverified,Unverified,,-14.713232729682284,7.1199652000000005e-12,557447,0.04555486228900036,99.3003481122833,,WXT J063712-144247,source,['known_source'],
Star,BY Dra Variable,,8.22970384284,8.820138e-12,557443,0.04029210442125283,71.18905267221,1.31e-09,V1825 Ori,source,['known_source'],
Unverified,Unverified,,46.276506906009224,1.0439726e-11,557704,0.04421624283937818,21.2069503499441,,WXT J012450+461635,source,['known_source'],
Unverified,Unverified,,-25.03152036510221,1.23834946e-11,557961,0.04405384226450969,122.63511740369641,,WXT J081032-250154,source,['known_source'],
Cluster of Galaxies,Cluster of Galaxies,,9.965,4.5348174e-11,37407,0.0,54.647083333333335,7.27e-10,ZwCl 0335+0956,source,['known_source'],
Cluster of Galaxies,Cluster of Galaxies,no XRT; arm,41.47961017378,2.576624e-10,37432,0.0,49.99605064541,1.24e-11,NGC 1279,source,['known_source'],
Unverified,Unverified,,58.72149405133211,9.811986e-12,558327,0.04633710552827311,40.52872724500405,,WXT J024207+584317,source,['known_source'],
Unverified,Unverified,,34.91030583301876,1.1432710000000002e-11,558361,0.04575130124952607,179.5256718124049,,WXT J115806+345436,source,['known_source'],
Unverified,Unverified,,63.389439216677054,7.436873e-12,558423,0.04619450670873258,15.971558387332687,,WXT J010353+632322,source,['known_source'],
Unverified,Unverified,,70.82762787212856,1.2397824000000001e-11,556166,0.04229174222179376,358.6343898216767,,WXT J235432+704939,source,['known_source'],
Cluster of Galaxies,Cluster of Galaxies,,36.16569550567709,1.9447498e-11,556153,0.05426471115084881,28.318962185108173,,T2015,source,['known_source'],
Unverified,Unverified,,24.009183567057445,8.590267e-12,557446,0.04445161059624512,106.66628525842141,,WXT J070640+240032,source,['known_source'],
Unverified,Unverified,,26.66285566789703,1.6820588000000003e-11,558038,0.04500118932803716,54.067390077085044,,WXT J033616+263947,source,['known_source'],
Unverified,Unverified,,61.39886995510879,3.0021622e-11,558317,0.051833781108185345,105.95013195027616,,WXT J070348+612356,source,['known_source'],
Unverified,Unverified,,59.048480199753755,9.2186992e-12,558325,0.03918652197512343,15.839469473837884,,WXT J010321+590253,source,['known_source'],
Unverified,Unverified,,52.43754064651041,1.4924048000000002e-11,556157,0.055798502355723326,32.519636237351484,,WXT J021005+522615,source,['known_source'],
Unverified,Unverified,,76.10173252439003,1.0878028000000001e-11,556235,0.05527972383225891,159.03496447293287,,WXT J103608+760606,source,['known_source'],
Unverified,Unverified,,79.41782557089327,9.198740000000001e-12,558471,0.04823486795252349,152.61384898417867,,WXT J101027+792504,source,['known_source'],
Unverified,Unverified,,-14.150361047797485,1.2790808000000001e-11,403164,0.04257613843770888,304.82181277931795,,WXT J201917-140901,source,['known_source'],
Unverified,Unverified,,-28.500204328116485,2.6731054000000002e-11,403288,0.04826408636387375,288.04057157472965,,WXT J191210-283001,source,['known_source'],
Unverified,Unverified,,-41.26730554448971,3.5318615999999996e-11,403007,0.049994229201536546,264.4754023019133,,WXT J173754-411602,source,['known_source'],
Unverified,Unverified,,8.173536230878518,1.7943974e-11,403347,0.049541833749050135,7.344603155061036,,WXT J002923+081025,source,['known_source'],
Unverified,Unverified,photon index = 0.07 or T=63keV for apec,-8.225997587769983,1.4685756600000003e-11,403031,0.05128673983187218,332.01082695375203,,WXT J220803-081334,source,['known_source'],
Unverified,Unverified,,8.799124931970836,1.0348190600000001e-11,510545,0.043619903303902564,328.8571134946662,,WXT J215525+084756,source,['known_source'],
Unverified,Unverified,,-35.63551421933818,1.3204738400000002e-11,408717,0.04554427920032954,283.3672404897356,,WXT J185328-353808,source,['known_source'],
Unverified,Unverified,,-0.38224658779206927,1.0582294000000002e-11,408775,0.04416910156788593,349.9319801432727,,WXT J231944-002256,source,['known_source'],
Unverified,Unverified,,-31.61251511483978,1.5950156e-11,408745,0.05540399449362073,281.88792247159085,,WXT J184733-313645,source,['known_source'],
Unverified,Unverified,,-4.852173899672566,9.7302552e-12,408746,0.04879884414374197,328.5263948790329,,WXT J215406-045108,source,['known_source'],
Unverified,Unverified,,-13.091874389308796,1.6255522000000004e-11,414281,0.04001045089649881,12.824128462919845,,WXT J005117-130530,source,['known_source'],
Unverified,Unverified,,-28.981024419231826,1.2690046800000001e-11,414447,0.056391106012979815,333.70483859385644,,WXT J221449-285851,source,['known_source'],
Unverified,Unverified,,-12.410015829651039,9.895200000000001e-12,414449,0.04436933293388317,26.930733977359296,,WXT J014743-122436,source,['known_source'],
Unverified,Unverified,,-20.90728085323881,1.5916110000000002e-11,412192,0.047053260973012115,329.03477918342264,,WXT J215608-205426,source,['known_source'],
Unverified,Unverified,,-12.00905539078625,1.3707945200000002e-11,409716,0.0480322317328635,310.0299159754423,,WXT J204007-120033,source,['known_source'],
Unverified,Unverified,,-5.217447094336795,9.918648000000001e-12,504157,0.04965298758248483,31.74251091418279,,WXT J020658-051303,source,['known_source'],
AGN,Quasar,,-42.00980604038527,1.3432737400000001e-11,414450,0.0506083082922155,14.414627662507783,2.75e-12,J005729.3-415836,source,['known_source'],
Unverified,Unverified,,16.591676946609244,2.211809e-12,510091,0.035932540180273,73.64919036902329,,WXT J045436+163530,source,['known_source'],
Unverified,Unverified,,21.034460553690515,9.1217374e-12,403242,0.03853452626355212,249.68086020031427,,WXT J163843+210204,source,['known_source'],
Unverified,Unverified,,-49.55483039601693,8.799467199999999e-12,404248,0.03972525447805476,19.157647888968096,,WXT J011638-493317,source,['known_source'],
Unverified,Unverified,,-31.276482982583975,8.693716400000001e-12,392730,0.04284245104541452,329.54060768572344,,WXT J215809-311635,source,['known_source'],
Unverified,Unverified,,-16.60736300072774,1.7512260000000002e-11,258648,0.04951264850243407,36.49893769910319,,WXT J022559-163627,source,['known_source'],
Unclassified,Unclassified,,-25.706908605818683,1.0277726e-11,208759,0.010222127495062346,244.09921371753703,2.04e-12,2RXS J161617.4-254220,source,['known_source'],
Unverified,Unverified,,-42.15410099232893,2.1125078e-11,408921,0.04901321389609942,332.3994540458134,,WXT J220936-420915,source,['known_source'],
Unverified,Unverified,,0.2767772703596077,1.2173936800000001e-11,262594,0.05501886597395128,32.517350244157896,,WXT J021004+001636,source,['known_source'],
Unverified,Unverified,,25.160019657703824,1.3232264600000001e-11,409265,0.04927878212774591,336.96527485578173,,WXT J222752+250936,source,['known_source'],
Unverified,Unverified,,-10.004464282204154,1.24923988e-11,414568,0.04748055438122441,297.6088915781834,,WXT J195026-100016,source,['known_source'],
Unverified,Unverified,,3.019531638995439,1.2549113400000002e-11,414641,0.04478889675900102,329.9043895600764,,WXT J215937+030110,source,['known_source'],
Unverified,Unverified,,4.450919232708167,2.0433768e-11,414684,0.05414366123442981,275.88984971106544,,WXT J182333+042703,source,['known_source'],
AGN,Seyfert 2 Galaxy,,-0.183557542,1.0400000000000001e-11,38230,0.0,43.80096313,1.04e-11,NGC 1142,source,['known_source'],
AGN,Seyfert 2,,-37.51305,1.61e-12,38232,0.0,76.926429,1.61e-12,NGC 1808,source,['known_source'],
Unverified,Unverified,,20.546161341807416,1.8835470000000002e-11,414541,0.04630954727563111,279.9737986900347,,WXT J183953+203246,source,['known_source'],
Unverified,Unverified,,-8.296458347064368,1.7557684000000003e-11,414565,0.049073295223158744,28.678477201381842,,WXT J015442-081747,source,['known_source'],
Unverified,Unverified,,-21.54962597552999,2.3905510000000004e-11,414677,0.05031049192247344,261.5909725956071,,WXT J172621-213258,source,['known_source'],
Unverified,Unverified,,-37.79106483722284,2.0791618000000004e-11,409772,0.0535382227923611,279.0504813709889,,WXT J183612-374728,source,['known_source'],
Unverified,Unverified,,-21.182334235665497,1.4566112000000002e-11,410314,0.045246202414894986,286.2182400559649,,WXT J190452-211056,source,['known_source'],
Unverified,Unverified,,-7.160478872385939,1.5629106000000003e-11,393465,0.0504667351513762,233.39015289986057,,WXT J153334-070938,source,['known_source'],
AGN,Seyfert 2,,-22.220846763680008,1.3512756000000002e-12,414829,0.03496262008971804,339.23311539283,1.05e-11,ESO 602-31,source,['known_source'],
Unverified,Unverified,,17.67588666533245,8.071051e-12,414880,0.045456826108037265,27.69201974024117,,WXTJ015046+174033,source,['known_source'],
Unverified,Unverified,,-13.151842553463425,1.3601928e-11,415206,0.0467991626804031,330.47305562127286,,WXT 220154-130907,source,['known_source'],
Unverified,Unverified,,-27.310578886007196,1.4553092000000002e-11,393710,0.0456972165478308,322.99620317538586,,WXT J213159-271838,source,['known_source'],
Unverified,Unverified,,-43.06280024721876,1.599262e-11,415633,0.04827260679828435,258.38439735094653,,WXT J171332-430346,source,['known_source'],
Unverified,Unverified,,-0.5024162831680158,1.41702788e-11,415757,0.04621026841729657,296.1062162336683,,WXT J194426-003008,source,['known_source'],
Unverified,Unverified,,-55.66463918556304,1.1632801000000001e-11,415995,0.039696420144225815,297.93619052413925,,WXT J195145-553952,source,['known_source'],
Unverified,Unverified,,40.102557219766226,6.5094368e-12,416168,0.045094334786254305,275.3926063284474,,WXT J182134+400609,source,['known_source'],
Unverified,Unverified,,2.8953182002729245,9.331048e-12,416076,0.045594035771924016,302.9396119438272,,WXT J201145+025343,source,['known_source'],
Unverified,Unverified,,-39.43039917614291,2.0584686000000002e-11,416263,0.04536849845223459,275.09643518985865,,WXT J182023-392549,source,['known_source'],
