"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Unreal","Discovery Bibcode","Classification Bibcodes","Ext. catalog/s","Auto classification"
"192610","AT 2025adjm","23:38:31.640","-15:39:23.86","","","","","GOTO","GOTO","","GOTO","GOTO25kam","GOTO-N - GOTO-2, GOTO-S - GOTO-3","","1","1","","20.12","L-GOTO","2025-11-14 10:11:54.816","GOTO_bot","","","2025TNSTR4577....1A","","",""
"192609","AT 2025adjl","03:03:22.467","-53:16:06.14","","","","","GOTO","GOTO","","GOTO","GOTO25kaa","GOTO-S - GOTO-3, GOTO-S - GOTO-4","","1","1","","20.46","L-GOTO","2025-11-14 10:58:11.712","GOTO_bot","","","2025TNSTR4577....1A","","",""
"192608","AT 2025adjk","00:06:26.761","-40:42:52.47","","","","","GOTO, ATLAS","GOTO, ATLAS","","ATLAS, GOTO","GOTO25kac","ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03, GOTO-S - GOTO-4","","1","1","","19.52","L-GOTO","2025-10-30 10:14:40.704","GOTO_bot","","","2025TNSTR4577....1A","","",""
"192607","AT 2025adjj","20:31:12.142","+15:22:53.92","","","","","GOTO","GOTO","","GOTO","GOTO25kao","GOTO-N - GOTO-1","","1","1","","19.69","L-GOTO","2025-11-14 20:12:56.448","GOTO_bot","","","2025TNSTR4575....1O","","",""
"192606","AT 2025adji","22:11:10.415","+09:36:14.45","","","","","GOTO","GOTO","","GOTO","GOTO25kah","GOTO-N - GOTO-1, GOTO-N - GOTO-2","","1","1","","19.44","L-GOTO","2025-11-06 20:54:53.280","GOTO_bot","","","2025TNSTR4577....1A","","",""
"192605","AT 2025adjh","22:32:54.564","+07:55:22.37","","","","","GOTO","GOTO","","GOTO","GOTO25kaj","GOTO-N - GOTO-1, GOTO-N - GOTO-2","","1","1","","20.18","L-GOTO","2025-11-14 20:24:57.024","GOTO_bot","","","2025TNSTR4572....1K","","",""
"192604","AT 2025adjg","22:08:03.953","-15:44:31.96","","","","","GOTO","GOTO","","GOTO","GOTO25kak","GOTO-N - GOTO-1, GOTO-S - GOTO-3","","1","1","","19.43","L-GOTO","2025-11-12 09:42:57.312","GOTO_bot","","","2025TNSTR4577....1A","","",""
"192603","AT 2025adjf","22:52:02.780","-07:15:41.91","","","","","GOTO, GW-MMADS, ATLAS, BlackGEM","GOTO, GW-MMADS, ATLAS, BlackGEM","","ATLAS, BlackGEM, GOTO, GW-MMADS","GOTO25kan","ATLAS-TDO - ATLAS-05, BG4 - BlackGEM-Cam4, CTIO-4m - DECAM, GOTO-S - GOTO-3, GOTO-S - GOTO-4","","1","1","","20.02","L-GOTO","2025-11-11 10:27:36.576","GOTO_bot","","","2025TNSTR4575....1O","","",""
"192602","AT 2025adje","13:28:48.718","+38:44:48.12","","","WISEA J132849.14+384442.4","","ASAS-SN","ASAS-SN","","ASAS-SN","ASASSN-25et","ASASSN-4 - Leavitt","","1","1","","14.7","g-Sloan","2025-11-14 12:14:24.000","Krzysztof Stanek","","","2025TNSTR4569....1S","","",""
"192601","AT 2025adjd","12:43:14.629","+56:48:12.95","","","","","SAGUARO, WFST","SAGUARO, WFST","","SAGUARO, WFST","","Other - Other, WFST - WFST-WFC","","1","1","","20.6","Clear-","2025-11-14 20:16:23.000","SAGUARO_Bot1","","","2025TNSTR4580....1S","","",""
